0,00	-1,84E+02	6,67E-10	9,00E+01												
0,00	-1,83E+02	6,82E-10	9,00E+01												
0,00	-1,83E+02	6,98E-10	9,00E+01												
0,00	-1,83E+02	7,14E-10	9,00E+01												
0,00	-1,83E+02	7,31E-10	9,00E+01												
0,00	-1,83E+02	7,48E-10	9,00E+01												
0,00	-1,82E+02	7,65E-10	9,00E+01												
0,00	-1,82E+02	7,83E-10	9,00E+01												
0,00	-1,82E+02	8,02E-10	9,00E+01												
0,00	-1,82E+02	8,20E-10	9,00E+01												
0,00	-1,82E+02	8,39E-10	9,00E+01												
0,00	-1,81E+02	8,59E-10	9,00E+01												
0,00	-1,81E+02	8,79E-10	9,00E+01												
0,00	-1,81E+02	8,99E-10	9,00E+01												
0,00	-1,81E+02	9,20E-10	9,00E+01												
0,00	-1,81E+02	9,42E-10	9,00E+01												
0,00	-1,80E+02	9,64E-10	9,00E+01												
0,00	-1,80E+02	9,86E-10	9,00E+01												
0,00	-1,80E+02	1,01E-09	9,00E+01												
0,00	-1,80E+02	1,03E-09	9,00E+01												
0,00	-1,80E+02	1,06E-09	9,00E+01												
0,00	-1,79E+02	1,08E-09	9,00E+01												
0,00	-1,79E+02	1,11E-09	9,00E+01												
0,00	-1,79E+02	1,13E-09	9,00E+01												
0,00	-1,79E+02	1,16E-09	9,00E+01												
0,00	-1,79E+02	1,19E-09	9,00E+01												
0,00	-1,78E+02	1,21E-09	9,00E+01												
0,00	-1,78E+02	1,24E-09	9,00E+01												
0,00	-1,78E+02	1,27E-09	9,00E+01												
0,00	-1,78E+02	1,30E-09	9,00E+01												
0,00	-1,78E+02	1,33E-09	9,00E+01												
0,00	-1,77E+02	1,36E-09	9,00E+01												
0,00	-1,77E+02	1,39E-09	9,00E+01												
0,00	-1,77E+02	1,43E-09	9,00E+01							1	-3,03				
0,00	-1,77E+02	1,46E-09	9,00E+01							1000000000	-3,03				
0,00	-1,77E+02	1,49E-09	9,00E+01												
0,00	-1,76E+02	1,53E-09	9,00E+01												
0,00	-1,76E+02	1,56E-09	9,00E+01								14,79	-1,00E+02		26915300,00	-1,00E+02
0,00	-1,76E+02	1,60E-09	9,00E+01								14791,1	-4,01E+01		26915,3	-4,01E+01
0,00	-1,76E+02	1,64E-09	9,00E+01												
0,00	-1,76E+02	1,67E-09	9,00E+01												
0,00	-1,75E+02	1,71E-09	9,00E+01												
0,00	-1,75E+02	1,75E-09	9,00E+01												
0,00	-1,75E+02	1,79E-09	9,00E+01												
0,00	-1,75E+02	1,84E-09	9,00E+01												
0,00	-1,75E+02	1,88E-09	9,00E+01												
0,00	-1,74E+02	1,92E-09	9,00E+01												
0,00	-1,74E+02	1,97E-09	9,00E+01												
0,00	-1,74E+02	2,01E-09	9,00E+01												
0,00	-1,74E+02	2,06E-09	9,00E+01												
0,00	-1,74E+02	2,11E-09	9,00E+01												
0,00	-1,73E+02	2,16E-09	9,00E+01												
0,00	-1,73E+02	2,21E-09	9,00E+01												
0,00	-1,73E+02	2,26E-09	9,00E+01												
0,00	-1,73E+02	2,31E-09	9,00E+01												
0,00	-1,73E+02	2,37E-09	9,00E+01												
0,00	-1,72E+02	2,42E-09	9,00E+01												
0,00	-1,72E+02	2,48E-09	9,00E+01												
0,00	-1,72E+02	2,53E-09	9,00E+01												
0,00	-1,72E+02	2,59E-09	9,00E+01												
0,00	-1,72E+02	2,65E-09	9,00E+01												
0,00	-1,71E+02	2,72E-09	9,00E+01												
0,00	-1,71E+02	2,78E-09	9,00E+01												
0,00	-1,71E+02	2,84E-09	9,00E+01												
0,00	-1,71E+02	2,91E-09	9,00E+01												
0,00	-1,71E+02	2,98E-09	9,00E+01												
0,00	-1,70E+02	3,05E-09	9,00E+01												
0,00	-1,70E+02	3,12E-09	9,00E+01												
0,00	-1,70E+02	3,19E-09	9,00E+01												
0,00	-1,70E+02	3,27E-09	9,00E+01												
0,01	-1,70E+02	3,34E-09	9,00E+01												
0,01	-1,69E+02	3,42E-09	9,00E+01												
0,01	-1,69E+02	3,50E-09	9,00E+01												
0,01	-1,69E+02	3,58E-09	9,00E+01												
0,01	-1,69E+02	3,66E-09	9,00E+01												
0,01	-1,69E+02	3,75E-09	9,00E+01												
0,01	-1,68E+02	3,84E-09	9,00E+01												
0,01	-1,68E+02	3,93E-09	9,00E+01												
0,01	-1,68E+02	4,02E-09	9,00E+01												
0,01	-1,68E+02	4,11E-09	9,00E+01												
0,01	-1,68E+02	4,21E-09	9,00E+01												
0,01	-1,67E+02	4,30E-09	9,00E+01												
0,01	-1,67E+02	4,40E-09	9,00E+01												
0,01	-1,67E+02	4,51E-09	9,00E+01												
0,01	-1,67E+02	4,61E-09	9,00E+01												
0,01	-1,67E+02	4,72E-09	9,00E+01												
0,01	-1,66E+02	4,83E-09	9,00E+01												
0,01	-1,66E+02	4,94E-09	9,00E+01												
0,01	-1,66E+02	5,06E-09	9,00E+01												
0,01	-1,66E+02	5,17E-09	9,00E+01												
0,01	-1,66E+02	5,30E-09	9,00E+01												
0,01	-1,65E+02	5,42E-09	9,00E+01												
0,01	-1,65E+02	5,55E-09	9,00E+01												
0,01	-1,65E+02	5,67E-09	9,00E+01												
0,01	-1,65E+02	5,81E-09	9,00E+01												
0,01	-1,65E+02	5,94E-09	9,00E+01												
0,01	-1,64E+02	6,08E-09	9,00E+01												
0,01	-1,64E+02	6,22E-09	9,00E+01												
0,01	-1,64E+02	6,37E-09	9,00E+01												
0,01	-1,64E+02	6,51E-09	9,00E+01												
0,01	-1,64E+02	6,67E-09	9,00E+01												
0,01	-1,63E+02	6,82E-09	9,00E+01												
0,01	-1,63E+02	6,98E-09	9,00E+01												
0,01	-1,63E+02	7,14E-09	9,00E+01												
0,01	-1,63E+02	7,31E-09	9,00E+01												
0,01	-1,63E+02	7,48E-09	9,00E+01												
0,01	-1,62E+02	7,65E-09	9,00E+01				-0,518118	-3,528118							
