Uxx = 	1,254992	
Iкз =	6,6	
		
R	U	I
∞	1,254992	0
1 000 000	1,254922	0,000001255
1000	1,254921	0,001254921
100	1,254917	0,01254917
10	1,254872	0,1254872
5	1,25482	0,250964
3	1,25475	0,41825
2	1,25467	0,627335
1,5	1,25459	0,836393333
1	1,25442	1,25442
0,9	1,25436	1,393733333
0,8	1,25429	1,5678625
0,7	1,25421	1,791728571
0,6	1,25409	2,09015
0,5	1,25392	2,50784
0,4	1,25367	3,134175
0,3	1,253251	4,177503333
0,226	1,252705	5,542942478
0,196	1,252366	6,389622449
0,192	1,252313	6,522463542
0,19	1,252286	6,590978947
0,189	1,24739	6,5999471
0,183	1,20779	6,599945355
0,179	1,18142	6,600111732
0,175	1,15503	6,600171429
0,172	1,13521	6,60005814
0,17	1,122	6,6
0,12	0,792	6,6
0,1	0,66	6,6
0,05	0,33	6,6
